id,subscription_id,customer_id,shopify_order_id,email,created_at,processed_at,type,status,total_price,subtotal_price,tax_lines,discount_codes,error_message,payment_processor
1000000001,3000000001,9000000001,5000000001,camila.davis95@yahoo.com,2024-05-24T08:48:54Z,2024-05-24T08:48:54Z,CHECKOUT,SUCCESS,48.98,44.99,3.99,,,stripe
1000000002,3000000001,9000000001,5000000002,camila.davis95@yahoo.com,2024-06-23T08:58:54Z,2024-06-23T08:58:54Z,RECURRING,SUCCESS,48.59,44.99,3.60,,,stripe
1000000003,3000000001,9000000001,5000000003,camila.davis95@yahoo.com,2024-07-24T08:46:54Z,2024-07-24T08:46:54Z,RECURRING,SUCCESS,43.32,40.49,2.83,LOYAL10,,stripe
1000000004,3000000001,9000000001,5000000004,camila.davis95@yahoo.com,2024-08-22T08:50:54Z,2024-08-22T08:50:54Z,RECURRING,SUCCESS,48.98,44.99,3.99,,,stripe
1000000005,3000000001,9000000001,5000000005,camila.davis95@yahoo.com,2024-09-21T08:45:54Z,2024-09-21T08:45:54Z,RECURRING,SUCCESS,48.59,44.99,3.60,,,stripe
1000000006,3000000001,9000000001,5000000006,camila.davis95@yahoo.com,2024-10-20T08:57:54Z,2024-10-20T08:57:54Z,RECURRING,SUCCESS,47.97,44.99,2.98,,,stripe
1000000007,3000000001,9000000001,5000000007,camila.davis95@yahoo.com,2024-11-20T08:47:54Z,2024-11-20T08:47:54Z,RECURRING,SUCCESS,44.99,44.99,0.00,,,stripe
1000000008,3000000001,9000000001,5000000008,camila.davis95@yahoo.com,2024-12-18T08:44:54Z,2024-12-18T08:44:54Z,RECURRING,SUCCESS,47.97,44.99,2.98,,,stripe
1000000009,3000000001,9000000001,5000000009,camila.davis95@yahoo.com,2025-01-18T08:58:54Z,2025-01-18T08:58:54Z,RECURRING,SUCCESS,48.59,44.99,3.60,,,stripe
1000000010,3000000001,9000000001,5000000010,camila.davis95@yahoo.com,2025-02-16T08:57:54Z,2025-02-16T08:57:54Z,RECURRING,SUCCESS,44.99,44.99,0.00,,,stripe
1000000011,3000000001,9000000001,5000000011,camila.davis95@yahoo.com,2025-03-21T08:52:54Z,2025-03-21T08:52:54Z,RECURRING,SUCCESS,48.59,44.99,3.60,,,stripe
1000000012,3000000001,9000000001,5000000012,camila.davis95@yahoo.com,2025-04-18T08:48:54Z,2025-04-18T08:48:54Z,RECURRING,SUCCESS,48.98,44.99,3.99,,,stripe
1000000013,3000000001,9000000001,5000000013,camila.davis95@yahoo.com,2025-05-19T08:52:54Z,2025-05-19T08:52:54Z,RECURRING,SUCCESS,48.98,44.99,3.99,,,stripe
1000000014,3000000001,9000000001,5000000014,camila.davis95@yahoo.com,2025-06-18T08:52:54Z,2025-06-18T08:52:54Z,RECURRING,SUCCESS,48.98,44.99,3.99,,,stripe
1000000015,3000000001,9000000001,5000000015,camila.davis95@yahoo.com,2025-07-18T08:47:54Z,2025-07-18T08:47:54Z,RECURRING,SUCCESS,48.59,44.99,3.60,,,stripe
1000000016,3000000001,9000000001,5000000016,camila.davis95@yahoo.com,2025-08-16T08:58:54Z,2025-08-16T08:58:54Z,RECURRING,SUCCESS,47.97,44.99,2.98,,,stripe
1000000017,3000000001,9000000001,5000000017,camila.davis95@yahoo.com,2025-09-17T08:54:54Z,2025-09-17T08:54:54Z,RECURRING,SUCCESS,48.14,44.99,3.15,,,stripe
1000000018,3000000002,9000000002,5000000018,olivia.johnson@hotmail.com,2024-02-01T01:39:03Z,2024-02-01T01:39:03Z,CHECKOUT,SUCCESS,89.99,89.99,0.00,,,stripe
1000000019,3000000002,9000000002,5000000019,olivia.johnson@hotmail.com,2024-03-02T01:34:03Z,2024-03-02T01:34:03Z,RECURRING,SUCCESS,89.99,89.99,0.00,,,stripe
1000000020,3000000002,9000000002,5000000020,olivia.johnson@hotmail.com,2024-03-29T01:32:03Z,2024-03-29T01:32:03Z,RECURRING,SUCCESS,97.19,89.99,7.20,,,stripe
1000000021,3000000003,9000000003,5000000021,michael_nguyen@icloud.com,2024-10-14T10:40:39Z,2024-10-14T10:40:39Z,CHECKOUT,SUCCESS,38.10,34.99,3.11,,,stripe
1000000022,3000000003,9000000003,5000000022,michael_nguyen@icloud.com,2024-11-13T10:49:39Z,2024-11-13T10:49:39Z,RECURRING,SUCCESS,38.10,34.99,3.11,,,stripe
1000000023,3000000003,9000000003,5000000023,michael_nguyen@icloud.com,2024-12-12T10:49:39Z,2024-12-12T10:49:39Z,RECURRING,SUCCESS,37.44,34.99,2.45,,,stripe
1000000024,3000000004,9000000004,5000000024,sophia.harris46@hotmail.com,2024-02-14T21:51:37Z,2024-02-14T21:51:37Z,CHECKOUT,SUCCESS,117.69,109.99,7.70,,,stripe
1000000025,3000000004,9000000004,5000000025,sophia.harris46@hotmail.com,2024-05-16T21:53:37Z,2024-05-16T21:53:37Z,RECURRING,SUCCESS,117.28,109.99,7.29,,,stripe
1000000026,3000000004,9000000004,5000000026,sophia.harris46@hotmail.com,2024-08-13T21:51:37Z,2024-08-13T21:51:37Z,RECURRING,SUCCESS,118.79,109.99,8.80,,,stripe
1000000027,3000000004,9000000004,5000000027,sophia.harris46@hotmail.com,2024-11-10T21:44:37Z,2024-11-10T21:44:37Z,RECURRING,SUCCESS,118.79,109.99,8.80,,,stripe
1000000028,3000000004,9000000004,5000000028,sophia.harris46@hotmail.com,2025-02-08T21:52:37Z,2025-02-08T21:52:37Z,RECURRING,SUCCESS,109.99,109.99,0.00,,,stripe
1000000029,3000000004,9000000004,5000000029,sophia.harris46@hotmail.com,2025-05-09T21:45:37Z,2025-05-09T21:45:37Z,RECURRING,SUCCESS,119.75,109.99,9.76,,,stripe
1000000030,3000000004,9000000004,5000000030,sophia.harris46@hotmail.com,2025-08-08T21:47:37Z,2025-08-08T21:47:37Z,RECURRING,SUCCESS,118.79,109.99,8.80,,,stripe
1000000031,3000000005,9000000007,5000000033,owen.green@yahoo.com,2025-01-24T14:50:42Z,2025-01-24T14:50:42Z,CHECKOUT,SUCCESS,195.49,195.49,0.00,WELCOME10,,stripe
1000000032,3000000005,9000000007,5000000034,owen.green@yahoo.com,2025-04-25T14:55:42Z,2025-04-25T14:55:42Z,RECURRING,SUCCESS,246.09,229.99,16.10,,,stripe
1000000033,3000000005,9000000007,5000000035,owen.green@yahoo.com,2025-07-25T14:53:42Z,2025-07-25T14:53:42Z,RECURRING,SUCCESS,245.23,229.99,15.24,,,stripe
1000000034,3000000005,9000000007,5000000036,owen.green@yahoo.com,2025-10-23T15:01:42Z,2025-10-23T15:01:42Z,RECURRING,SUCCESS,220.70,206.99,13.71,SAVE10,,stripe
1000000035,3000000006,9000000008,5000000038,savannah.roberts@outlook.com,2024-10-02T07:30:35Z,2024-10-02T07:30:35Z,CHECKOUT,SUCCESS,184.56,172.49,12.07,TRYDEW,,stripe
1000000036,3000000006,9000000008,5000000039,savannah.roberts@outlook.com,2025-01-01T07:37:35Z,2025-01-01T07:37:35Z,RECURRING,SUCCESS,250.40,229.99,20.41,,,stripe
1000000037,3000000006,9000000008,5000000040,savannah.roberts@outlook.com,2025-04-01T07:33:35Z,2025-04-01T07:33:35Z,RECURRING,SUCCESS,246.09,229.99,16.10,,,stripe
1000000038,3000000006,9000000008,5000000041,savannah.roberts@outlook.com,2025-07-01T07:28:35Z,2025-07-01T07:28:35Z,RECURRING,SUCCESS,229.99,229.99,0.00,,,stripe
1000000039,3000000006,9000000008,5000000042,savannah.roberts@outlook.com,2025-09-26T07:30:35Z,2025-09-26T07:30:35Z,RECURRING,SUCCESS,245.23,229.99,15.24,,,stripe
1000000040,3000000006,9000000008,5000000043,savannah.roberts@outlook.com,2025-12-27T07:29:35Z,2025-12-27T07:29:35Z,RECURRING,SUCCESS,245.23,229.99,15.24,,,stripe
1000000041,3000000007,9000000010,5000000046,riley_sanchez@hotmail.com,2024-04-06T06:53:55Z,2024-04-06T06:53:55Z,CHECKOUT,SUCCESS,73.48,67.49,5.99,TRYDEW,,stripe
1000000042,3000000007,9000000010,5000000047,riley_sanchez@hotmail.com,2024-05-06T06:56:55Z,2024-05-06T06:56:55Z,RECURRING,SUCCESS,89.99,89.99,0.00,,,stripe
1000000043,3000000007,9000000010,5000000048,riley_sanchez@hotmail.com,2024-06-02T06:53:55Z,2024-06-02T06:53:55Z,RECURRING,SUCCESS,97.19,89.99,7.20,,,stripe
1000000044,3000000007,9000000010,5000000049,riley_sanchez@hotmail.com,2024-07-05T06:49:55Z,2024-07-05T06:49:55Z,RECURRING,SUCCESS,97.98,89.99,7.99,,,stripe
1000000045,3000000007,9000000010,5000000050,riley_sanchez@hotmail.com,2024-08-01T06:51:55Z,2024-08-01T06:51:55Z,RECURRING,SUCCESS,96.29,89.99,6.30,,,stripe
1000000046,3000000007,9000000010,5000000051,riley_sanchez@hotmail.com,2024-09-02T06:43:55Z,2024-09-02T06:43:55Z,RECURRING,SUCCESS,95.95,89.99,5.96,,,stripe
