id,customer_id,shopify_customer_id,email,product_title,variant_title,sku,price,quantity,status,created_at,cancelled_at,cancellation_reason,charge_interval_frequency,order_interval_unit,next_charge_scheduled_at
3000000001,9000000001,7000000001,camila.davis95@yahoo.com,Renewal Night Cream,30-day supply,RNC-30,44.99,1,cancelled,2024-05-22T03:52:54Z,2025-10-14T03:43:54Z,customer_request,30,day,
3000000002,9000000002,7000000002,olivia.johnson@hotmail.com,Complete Routine Bundle,30-day supply,CRB-30,89.99,1,cancelled,2024-01-28T20:40:03Z,2024-05-06T20:26:03Z,customer_request,30,day,
3000000003,9000000003,7000000003,michael_nguyen@icloud.com,Daily Hydration Serum,30-day supply,DHS-30,34.99,1,cancelled,2024-10-11T06:03:39Z,2025-01-19T05:39:39Z,not_seeing_results,30,day,
3000000004,9000000004,7000000004,sophia.harris46@hotmail.com,Renewal Night Cream,90-day supply,RNC-90,109.99,1,active,2024-02-14T17:01:37Z,,,90,day,2025-11-05T16:43:37Z
3000000005,9000000007,7000000007,owen.green@yahoo.com,Complete Routine Bundle,90-day supply,CRB-90,229.99,1,active,2025-01-23T09:56:42Z,,,90,day,2029-09-29T09:49:42Z
3000000006,9000000008,7000000008,savannah.roberts@outlook.com,Complete Routine Bundle,90-day supply,CRB-90,229.99,1,cancelled,2024-10-01T02:49:35Z,2025-12-25T00:00:00Z,customer_request,90,day,
3000000007,9000000010,7000000010,riley_sanchez@hotmail.com,Complete Routine Bundle,30-day supply,CRB-30,89.99,1,active,2024-04-03T02:12:55Z,,,30,day,2024-11-29T01:42:55Z
3000000008,9000000012,7000000012,layla_wright99@gmail.com,Brightening Vitamin C Drops,30-day supply,BVC-30,29.99,1,cancelled,2025-03-21T06:02:30Z,2025-12-06T00:00:00Z,customer_request,30,day,
3000000009,9000000014,7000000014,grace.johnson47@yahoo.com,Renewal Night Cream,30-day supply,RNC-30,44.99,1,active,2024-09-03T20:43:24Z,,,30,day,2025-05-01T20:39:24Z
3000000010,9000000015,7000000015,avacarter@yahoo.com,Brightening Vitamin C Drops,30-day supply,BVC-30,29.99,1,expired,2025-05-01T20:26:03Z,2025-09-09T20:01:03Z,customer_request,30,day,
3000000011,9000000016,7000000016,sebastiancarter@outlook.com,Daily Hydration Serum,30-day supply,DHS-30,34.99,1,cancelled,2025-10-27T13:46:44Z,2025-12-08T00:00:00Z,switched_product,30,day,
3000000012,9000000017,7000000017,evelyn.anderson@hotmail.com,Renewal Night Cream,90-day supply,RNC-90,109.99,1,expired,2024-08-23T21:49:28Z,2025-08-30T21:25:28Z,,90,day,
3000000013,9000000018,7000000018,james.jones@hotmail.com,Brightening Vitamin C Drops,30-day supply,BVC-30,29.99,1,cancelled,2024-10-12T17:43:24Z,2025-02-13T17:40:24Z,customer_request,30,day,
3000000014,9000000019,7000000019,evelyn_walker@gmail.com,Brightening Vitamin C Drops,30-day supply,BVC-30,29.99,1,cancelled,2025-03-17T12:56:58Z,2025-08-24T12:53:58Z,customer_request,30,day,
3000000015,9000000022,7000000022,aaliyah.thomas53@icloud.com,Renewal Night Cream,30-day supply,RNC-30,44.99,1,active,2025-02-14T02:27:05Z,,,30,day,2025-11-11T02:08:05Z
3000000016,9000000023,7000000023,benjamin_robinson55@yahoo.com,Brightening Vitamin C Drops,30-day supply,BVC-30,29.99,1,cancelled,2024-10-30T08:02:34Z,2025-03-11T07:55:34Z,too_expensive,30,day,
3000000017,9000000027,7000000027,emmarobinson@gmail.com,Daily Hydration Serum,30-day supply,DHS-30,34.99,1,active,2024-08-06T18:40:07Z,,,30,day,2025-02-02T18:25:07Z
