id,email,first_name,last_name,state,created_at,orders_count,total_spent,tags,accepts_marketing
7000000001,camila.davis95@yahoo.com,Camila,Davis,OH,2024-05-22T03:43:54-05:00,17,813.20,,true
7000000002,olivia.johnson@hotmail.com,Olivia,Johnson,MD,2024-01-28T20:26:03-05:00,3,277.17,,false
7000000003,michael_nguyen@icloud.com,Michael,Nguyen,MI,2024-10-11T05:39:39-05:00,3,113.64,,true
7000000004,sophia.harris46@hotmail.com,Sophia,Harris,GA,2024-02-14T16:43:37-05:00,7,821.08,,false
7000000005,victoriajackson80@hotmail.com,Victoria,Jackson,PA,2024-03-12T01:40:06-05:00,1,32.39,,true
7000000006,james_miller36@outlook.com,James,Miller,IL,2025-01-14T12:56:06-05:00,1,39.81,,true
7000000007,owen.green@yahoo.com,Owen,Green,CO,2025-01-23T09:49:42-05:00,4,907.51,,true
7000000008,savannah.roberts@outlook.com,Savannah,Roberts,AZ,2024-10-01T02:24:35-05:00,6,1401.50,,true
7000000009,jayden_young83@yahoo.com,Jayden,Young,GA,2024-05-22T08:58:45-05:00,1,45.43,,true
7000000010,riley_sanchez@hotmail.com,Riley,Sanchez,VA,2024-04-03T01:42:55-05:00,8,742.78,,true
7000000011,laylaramirez9@icloud.com,Layla,Ramirez,MD,2025-04-24T19:15:52-05:00,1,53.97,,true
7000000012,layla_wright99@gmail.com,Layla,Wright,NC,2025-03-21T05:45:30-05:00,10,311.75,,true
7000000013,henrymiller@yahoo.com,Henry,Miller,WA,2024-06-14T19:38:17-05:00,1,53.97,,true
7000000014,grace.johnson47@yahoo.com,Grace,Johnson,NY,2024-09-03T20:39:24-05:00,8,368.62,,true
7000000015,avacarter@yahoo.com,Ava,Carter,MO,2025-05-01T20:01:03-05:00,4,125.02,,false
7000000016,sebastiancarter@outlook.com,Sebastian,Carter,AZ,2025-10-27T13:35:44-05:00,3,102.70,,false
7000000017,evelyn.anderson@hotmail.com,Evelyn,Anderson,OR,2024-08-23T21:25:28-05:00,4,454.34,,true
7000000018,james.jones@hotmail.com,James,Jones,OH,2024-10-12T17:40:24-05:00,4,120.70,,true
7000000019,evelyn_walker@gmail.com,Evelyn,Walker,MO,2025-03-17T12:53:58-05:00,5,156.25,,false
7000000020,laylaadams@icloud.com,Layla,Adams,CT,2024-12-13T03:58:42-05:00,1,97.98,,true
7000000021,lucas.ramirez36@yahoo.com,Lucas,Ramirez,CA,2025-03-29T20:02:12-05:00,1,97.98,,true
7000000022,aaliyah.thomas53@icloud.com,Aaliyah,Thomas,PA,2025-02-14T02:08:05-05:00,9,420.97,,true
7000000023,benjamin_robinson55@yahoo.com,Benjamin,Robinson,PA,2024-10-30T07:55:34-05:00,4,124.46,,true
7000000024,noahbrown@gmail.com,Noah,Brown,TN,2024-03-23T06:45:56-05:00,1,77.03,,true
7000000025,averydavis@hotmail.com,Avery,Davis,CA,2025-03-05T23:56:03-05:00,1,86.36,,true
7000000026,amelianelson@outlook.com,Amelia,Nelson,AZ,2024-05-14T23:30:07-05:00,1,229.99,,true
7000000027,emmarobinson@gmail.com,Emma,Robinson,OR,2024-08-06T18:25:07-05:00,6,220.80,,true
7000000028,evelyn_white21@hotmail.com,Evelyn,White,IN,2024-11-05T22:16:13-05:00,1,97.19,,true
7000000029,penelope.miller@gmail.com,Penelope,Miller,CT,2025-07-20T05:39:34-05:00,2,173.70,,true
7000000030,ameliabaker34@outlook.com,Amelia,Baker,NY,2024-04-04T23:05:36-05:00,15,1415.25,,true
7000000031,emma.perez82@yahoo.com,Emma,Perez,CT,2025-03-28T20:05:09-05:00,4,455.36,,true
7000000032,ava.hall@outlook.com,Ava,Hall,MN,2025-07-19T05:23:30-05:00,6,214.98,,true
7000000033,sofia_williams@gmail.com,Sofia,Williams,WA,2025-07-27T14:47:44-05:00,1,96.29,,true
7000000034,aiden_lopez@outlook.com,Aiden,Lopez,MA,2024-09-11T09:42:50-05:00,4,137.23,,true
