id,order_number,customer_id,email,created_at,financial_status,fulfillment_status,subtotal_price,total_tax,total_shipping,total_price,total_discounts,discount_codes,source_name,landing_site,referring_site,cancel_reason,cancelled_at,tags,billing_address_province
5000000001,10001,7000000001,camila.davis95@yahoo.com,2024-05-24T03:43:54-05:00,paid,fulfilled,44.99,3.99,0.00,48.98,0.00,,web,/?utm_source=organic&utm_medium=search,,,,subscription,OH
5000000002,10002,7000000001,camila.davis95@yahoo.com,2024-06-23T03:43:54-05:00,paid,fulfilled,44.99,3.60,0.00,48.59,0.00,,subscription_contract,/,,,,subscription,OH
5000000003,10003,7000000001,camila.davis95@yahoo.com,2024-07-24T03:43:54-05:00,paid,fulfilled,40.49,2.83,0.00,43.32,4.50,LOYAL10,subscription_contract,/,,,,subscription,OH
5000000004,10004,7000000001,camila.davis95@yahoo.com,2024-08-22T03:43:54-05:00,paid,fulfilled,44.99,3.99,0.00,48.98,0.00,,subscription_contract,/?utm_source=organic&utm_medium=search,,,,subscription,OH
5000000005,10005,7000000001,camila.davis95@yahoo.com,2024-09-21T03:43:54-05:00,paid,fulfilled,44.99,3.60,0.00,48.59,0.00,,subscription_contract,/,,,,subscription,OH
5000000006,10006,7000000001,camila.davis95@yahoo.com,2024-10-20T03:43:54-05:00,paid,fulfilled,44.99,2.98,0.00,47.97,0.00,,subscription_contract,/,,,,subscription,OH
5000000007,10007,7000000001,camila.davis95@yahoo.com,2024-11-20T03:43:54-05:00,paid,fulfilled,44.99,0.00,0.00,44.99,0.00,,subscription_contract,/?utm_source=organic&utm_medium=search,,,,subscription,OH
5000000008,10008,7000000001,camila.davis95@yahoo.com,2024-12-18T03:43:54-05:00,paid,fulfilled,44.99,2.98,0.00,47.97,0.00,,subscription_contract,/,,,,subscription,OH
5000000009,10009,7000000001,camila.davis95@yahoo.com,2025-01-18T03:43:54-05:00,paid,fulfilled,44.99,3.60,0.00,48.59,0.00,,subscription_contract,/,,,,subscription,OH
5000000010,10010,7000000001,camila.davis95@yahoo.com,2025-02-16T03:43:54-05:00,paid,fulfilled,44.99,0.00,0.00,44.99,0.00,,subscription_contract,/?utm_source=organic&utm_medium=search,,,,subscription,OH
