id,amount,amount_refunded,currency,status,created,customer_email,metadata_shopify_order_id,metadata_recharge_charge_id,payment_method_type,failure_code,failure_message
ch_000000000001,4898,0,usd,succeeded,2024-05-24T08:45:54Z,camila.davis95@yahoo.com,5000000001,1000000001,card,,
ch_000000000002,4859,0,usd,succeeded,2024-06-23T08:44:54Z,camila.davis95@yahoo.com,5000000002,1000000002,apple_pay,,
ch_000000000003,4332,0,usd,succeeded,2024-07-24T08:48:54Z,camila.davis95@yahoo.com,5000000003,1000000003,card,,
ch_000000000004,4898,0,usd,succeeded,2024-08-22T08:48:54Z,camila.davis95@yahoo.com,5000000004,1000000004,card,,
ch_000000000005,4859,0,usd,succeeded,2024-09-21T08:43:54Z,camila.davis95@yahoo.com,5000000005,1000000005,apple_pay,,
ch_000000000006,4797,0,usd,succeeded,2024-10-20T08:44:54Z,camila.davis95@yahoo.com,5000000006,1000000006,card,,
ch_000000000007,4499,0,usd,succeeded,2024-11-20T08:47:54Z,camila.davis95@yahoo.com,5000000007,1000000007,card,,
ch_000000000008,4797,0,usd,succeeded,2024-12-18T08:45:54Z,camila.davis95@yahoo.com,5000000008,1000000008,card,,
ch_000000000009,4859,0,usd,succeeded,2025-01-18T08:45:54Z,camila.davis95@yahoo.com,5000000009,1000000009,google_pay,,
ch_000000000010,4499,0,usd,succeeded,2025-02-16T08:43:54Z,camila.davis95@yahoo.com,5000000010,1000000010,card,,
ch_000000000011,4859,0,usd,succeeded,2025-03-21T08:45:54Z,camila.davis95@yahoo.com,5000000011,1000000011,google_pay,,
ch_000000000012,4898,0,usd,succeeded,2025-04-18T08:46:54Z,camila.davis95@yahoo.com,5000000012,1000000012,card,,
ch_000000000013,4898,0,usd,succeeded,2025-05-19T08:43:54Z,camila.davis95@yahoo.com,5000000013,1000000013,apple_pay,,
ch_000000000014,4898,0,usd,succeeded,2025-06-18T08:47:54Z,camila.davis95@yahoo.com,5000000014,1000000014,card,,
ch_000000000015,4859,0,usd,succeeded,2025-07-18T08:45:54Z,camila.davis95@yahoo.com,5000000015,1000000015,card,,
ch_000000000016,4797,0,usd,succeeded,2025-08-16T08:48:54Z,camila.davis95@yahoo.com,5000000016,1000000016,google_pay,,
ch_000000000017,4814,0,usd,succeeded,2025-09-17T08:44:54Z,camila.davis95@yahoo.com,5000000017,1000000017,card,,
ch_000000000018,8999,0,usd,succeeded,2024-02-01T01:28:03Z,olivia.johnson@hotmail.com,5000000018,1000000018,card,,
ch_000000000019,8999,0,usd,succeeded,2024-03-02T01:28:03Z,olivia.johnson@hotmail.com,5000000019,1000000019,card,,
ch_000000000020,9719,0,usd,succeeded,2024-03-29T01:30:03Z,olivia.johnson@hotmail.com,5000000020,1000000020,google_pay,,
ch_000000000021,3810,0,usd,succeeded,2024-10-14T10:44:39Z,michael_nguyen@icloud.com,5000000021,1000000021,apple_pay,,
ch_000000000022,3810,0,usd,succeeded,2024-11-13T10:41:39Z,michael_nguyen@icloud.com,5000000022,1000000022,google_pay,,
